ГБОУ Школа № 1537	2	84	1	1	2	129347, г. Москва, ул. Проходчиков, д. 9	lyc1537.mskobr.ru	https://avatars.mds.yandex.net/get-altay/910613/2a000001614a05a1b79415bb9a6618fe6835/L_height	1	0	0	1	0	0	0	0	0	1	1	1
ГБОУ Школа № 1440	1	95	0	1	0	121609, г. Москва, Осенний бульвар, д. 10, корп. 3	sch1440.mskobr.ru	https://krylatskoe.com/wp-content/uploads/2020/02/1-4.jpg	0	0	0	0	0	0	0	0	0	0	1	1
ГБОУ Школа № 1560 "Лидер"	1	117	1	0	0	123423, г. Москва, ул. Маршала Тухачевского, д. 17, корп. 3	1560.mskobr.ru	https://avatars.mds.yandex.net/get-altay/1627037/2a00000167a964c105ad71f9b828ef78921c/L_height	0	0	0	0	0	0	0	0	0	1	1	1
ГБОУ Школа № 843	1	122	1	0	0	119602, г. Москва, ул. Мичуринский Проспект. Олимпийская Деревня, д. 23	sch843.mskobr.ru	https://avatars.mds.yandex.net/get-altay/2029876/2a0000016fa38584f6d554972b83ffc16582/L_height	0	0	0	0	0	0	0	0	0	0	0	0
ГБОУ Школа № 171	2	124	0	2	0	119146, г. Москва, ул. 2-я Фрунзенская, д. 7А	sch171c.mskobr.ru	https://upload.wikimedia.org/wikipedia/commons/9/9a/%D0%A8%D0%BA%D0%BE%D0%BB%D0%B0_171.jpg	0	0	0	0	0	0	0	0	0	0	1	0
ГБОУ Школа № 1589	3	126	0	3	0	121357, г. Москва, ул. Инициативная, д. 1	lycc1589.mskobr.ru	https://avatars.mds.yandex.net/get-altay/998237/2a0000016135d70bd42d84cbbfe8e0b56b99/L_height	0	0	0	0	0	0	0	0	1	1	0	0
ГБОУ Школа № 1474	1	130	0	1	0	125475, г. Москва, ул. Клинская, д. 22	sch1474s.mskobr.ru	https://sch1474s.mskobr.ru/files/1474/002_%D0%A1%D0%B2%D0%B5%D0%B4%D0%B5%D0%BD%D0%B8%D1%8F%20%D0%BE%20%D0%9E%D0%9E/001_%D0%9E%D1%81%D0%BD%D0%BE%D0%B2%D0%BD%D1%8B%D0%B5%20%D1%81%D0%B2%D0%B5%D0%B4%D0%B5%D0%BD%D0%B8%D1%8F/sch1.jpg	0	0	0	0	0	0	0	0	0	1	1	1
ГБОУ Школа № 1575	1	142	1	0	0	125319, г. Москва, ул. Усиевича, д. 6	lyc1575.mskobr.ru	https://smapse.ru/storage/2021/02/converted/825_585_main-photo.jpg	0	0	0	0	0	0	0	0	0	1	1	1
ГБОУ Школа № 1400	1	147	0	1	0	121354, г. Москва, Можайское ш., д. 38, корп. 7	sch1400z.mskobr.ru	https://avatars.mds.yandex.net/get-altay/1360498/2a00000164f583627194af481bb9dd4fe684/L_height	0	0	0	0	0	0	0	0	0	1	1	1
ГБОУ "Школа № 354 им. Д.М. Карбышева"	6	148	1	5	0	105005, г. Москва, Лефортовский переулок, д. 10	sch354c.mskobr.ru	https://detinform.ru/images/detailed/8/354.png	0	0	0	0	0	0	0	0	0	1	1	0
ГБОУ Школа № 1273	1	163	1	0	1	117647, г. Москва, ул. Академика Капицы, д. 12	sch1273uz.mskobr.ru	https://need4study.com/uploads/institutions/images/13880/.resized/564x400/main_photo.jpg?v=1513359794	1	0	0	0	0	0	0	0	0	0	0	1
ГБОУ Школа № 1329	3	167	1	2	1	119602, г. Москва, ул. Никулинская, д. 10	sch1329.mskobr.ru	https://smapse.ru/storage/2021/03/snimok-ekrana-2021-03-22-v-18-56-05.png	0	0	1	0	0	0	0	0	1	1	1	1
ГБОУ Школа № 152	2	172	0	2	0	125319, г. Москва, ул. 1-я Аэропортовская, д. 1	sch152s-new.mskobr.ru	https://avatars.mds.yandex.net/get-altay/374295/2a0000015b3998a766fa147e1763cff80c51/L_height	0	0	0	0	0	0	0	0	0	1	1	1
ГБОУ Школа № 1501	5	175	1	4	0	127055, г. Москва, Тихвинский пер., д. 3	lycc1501.mskobr.ru	https://upload.wikimedia.org/wikipedia/commons/e/ee/Moscow_Lyceum_1501_panorama1.jpg	0	0	0	0	0	0	0	0	0	1	1	1
ГБОУ Школа № 1302	1	178	0	1	0	123181, г. Москва, ул. Исаковского, д. 29, корп. 1	schu1302.mskobr.ru	https://krylatskoe.com/wp-content/uploads/2020/03/1.-novyj-korpus-shkoly-1302.jpg	0	0	0	0	0	0	0	0	0	1	0	1
ГБОУ Школа № 1538	1	180	1	0	0	125464, г. Москва, Проезд Новотушинский, д. 8, корп. 2	gym1538sz.mskobr.ru	https://avatars.mds.yandex.net/get-altay/4538345/2a00000178828be7d618d2dffe857de5bde3/L_height	0	0	0	0	0	0	0	0	0	0	1	1
